panel,evolution,curve,curve_r,n_data,N,M,panel_r_reservoir,R_panel,total_qubits_panel,C,Delta,delta_t,tau,gamma,t_over_tau,t,F
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.17166666666666666,110.50399032587215,0.9869418025732415
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.17333333333333334,111.57684460088062,0.987480270252731
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.17500000000000002,112.64969887588909,0.9879965336851579
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.17666666666666667,113.72255315089755,0.9884915084845999
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.17833333333333334,114.79540742590602,0.9889660725088828
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.18,115.86826170091449,0.989421067416497
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.18166666666666667,116.94111597592295,0.9898573001593136
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.18333333333333335,118.01397025093142,0.990275544413745
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.185,119.08682452593989,0.9906765419528923
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.18666666666666668,120.15967880094837,0.9910610039621093
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.18833333333333335,121.23253307595684,0.9914296123003188
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.19000000000000003,122.3053873509653,0.9917830207093168
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.19166666666666668,123.37824162597377,0.9921218559732102
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.19333333333333336,124.45109590098224,0.9924467190300436
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.195,125.5239501759907,0.992758186037587
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.19666666666666668,126.59680445099917,0.9930568093951758
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.19833333333333336,127.66965872600764,0.9933431187234122
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2,128.7425130010161,0.9936176218034695
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2016666666666667,129.81536727602457,0.9938808054776623
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.20333333333333334,130.88822155103304,0.9941331365128813
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.20500000000000002,131.9610758260415,0.9943750624284229
a,continuous,BJ,4,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.2066666666666667,133.03393010104998,0.9946070122896827
