panel,evolution,curve,curve_r,n_data,N,M,panel_r_reservoir,R_panel,total_qubits_panel,Delta,delta_t,tau,gamma,t_over_tau,t,F
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3016666666666665,81.78612874845427,0.3063171018232902
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3033333333333332,81.89084850357393,0.3033090990814889
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.305,81.9955682586936,0.3003095428395885
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3066666666666666,82.10028801381326,0.29731856158860814
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3083333333333333,82.20500776893292,0.2943362834522037
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.31,82.30972752405258,0.2913628361812577
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3116666666666665,82.41444727917224,0.28839834714835505
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3133333333333332,82.5191670342919,0.28544294334233905
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.315,82.62388678941156,0.28249675136287256
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3166666666666667,82.72860654453122,0.2795598974150145
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3183333333333334,82.83332629965088,0.27663250730382577
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.32,82.93804605477054,0.2737147064289304
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3216666666666668,83.0427658098902,0.27080661977921927
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3233333333333333,83.14748556500986,0.2679083719274456
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.325,83.25220532012952,0.2650200870249015
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3266666666666667,83.35692507524918,0.26214188879609884
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3283333333333334,83.46164483036884,0.2592739005334829
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3299999999999998,83.56636458548849,0.2564162450921007
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3316666666666666,83.67108434060815,0.2535690448844126
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3333333333333333,83.7758040957278,0.2507324218749995
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.335,83.88052385084747,0.24790649757535005
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3366666666666664,83.98524360596713,0.2450913930386557
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3383333333333332,84.08996336108679,0.24228722885463788
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3399999999999999,84.19468311620645,0.2394941251443323
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3416666666666666,84.29940287132611,0.23671220155501838
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3433333333333333,84.40412262644577,0.23394157725504383
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.345,84.50884238156543,0.2311823709287321
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3466666666666667,84.61356213668509,0.22843470077129888
b,continuous,standard,0,10,1024,1,3,8,13,0.1,3.141592653589793,62.83185307179586,0.007662413798862358,1.3483333333333332,84.71828189180475,0.22569868448378866
