record_type,n_data,N,sqrtN,M,r,R,C,delta_mode,Delta,tau,gamma,target,t,t_over_sqrtN,t_over_tau,F_exact,F_BJ,t_solution_exact,t_solution_BJ,fit_slope_through_origin
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,738.9190557546274,11.545610246166053,0.9127606338615513,0.9996440232842494,0.9998911589600813,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,739.7292740175162,11.558269906523691,0.9137614678899082,0.999664318904415,0.9998922425819536,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,740.539492280405,11.570929566881329,0.9147623019182651,0.9996853756283615,0.9998933154152819,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,741.3497105432939,11.583589227238967,0.9157631359466221,0.9997070356834101,0.9998943775674768,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,742.1599288061827,11.596248887596605,0.9167639699749791,0.9997291325777957,0.9998954291448797,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,742.9701470690716,11.608908547954243,0.917764804003336,0.9997514923708057,0.9998964702527734,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,743.7803653319604,11.621568208311881,0.918765638031693,0.9997739350596554,0.9998975009953924,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,744.5905835948492,11.63422786866952,0.9197664720600499,0.9997962760745662,0.9998985214759333,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,745.4008018577381,11.646887529027158,0.9207673060884068,0.9998183278721475,0.9998995317965654,357.0776195278951,372.87963450946785,
curve,12,4096,64.0,1,4,16,10.0,unknown,0.0077613970826532035,809.5430810031052,0.012349631327046884,0.99,746.2110201206269,11.659547189384796,0.9217681401167638,0.9998399016159094,0.9999005320584409,357.0776195278951,372.87963450946785,
